innovation_id,innovator_id,role,location_match,interest_match,skill_match,suitable
1,1,Product Manager,0,2,1,0
1,2,Product Manager,0,1,1,0
1,3,Product Manager,0,1,1,0
1,4,Product Manager,1,2,1,1
1,5,Product Manager,1,0,1,0
1,6,Product Manager,0,1,0,0
1,7,Product Manager,0,2,1,0
1,8,Product Manager,0,0,0,0
1,9,Product Manager,0,0,1,0
1,10,Product Manager,0,1,1,0
1,11,Product Manager,0,1,1,0
1,12,Product Manager,0,2,1,0
1,13,Product Manager,0,1,0,0
1,14,Product Manager,0,1,1,0
1,15,Product Manager,0,1,2,0
1,16,Product Manager,0,0,0,0
1,17,Product Manager,0,1,1,0
1,18,Product Manager,0,1,1,0
1,19,Product Manager,1,1,0,0
1,20,Product Manager,0,2,1,0
1,1,Technical Lead,0,1,1,0
1,2,Technical Lead,1,0,2,0
1,3,Technical Lead,0,1,1,0
1,4,Technical Lead,1,1,2,1
1,5,Technical Lead,0,0,0,0
1,6,Technical Lead,0,1,2,0
1,7,Technical Lead,0,1,1,0
1,8,Technical Lead,0,1,0,0
1,9,Technical Lead,0,0,1,0
1,10,Technical Lead,1,1,0,0
1,11,Technical Lead,1,1,2,1
1,12,Technical Lead,0,1,2,0
1,13,Technical Lead,0,1,1,0
1,14,Technical Lead,1,1,1,1
1,15,Technical Lead,0,1,1,0
1,16,Technical Lead,0,1,1,0
1,17,Technical Lead,0,2,2,0
1,18,Technical Lead,1,1,2,1
1,19,Technical Lead,1,1,1,1
1,20,Technical Lead,0,1,0,0
1,1,UI/UX Designer,1,1,2,1
1,2,UI/UX Designer,0,0,0,0
1,3,UI/UX Designer,0,1,1,0
1,4,UI/UX Designer,1,1,1,1
1,5,UI/UX Designer,0,1,2,0
1,6,UI/UX Designer,1,2,0,0
1,7,UI/UX Designer,0,1,2,0
1,8,UI/UX Designer,0,1,1,0
1,9,UI/UX Designer,0,0,1,0
1,10,UI/UX Designer,0,1,0,0
1,11,UI/UX Designer,0,2,1,0
1,12,UI/UX Designer,0,1,1,0
1,13,UI/UX Designer,1,1,1,1
1,14,UI/UX Designer,1,1,0,0
1,15,UI/UX Designer,0,1,1,0
1,16,UI/UX Designer,0,1,1,0
1,17,UI/UX Designer,0,1,1,0
1,18,UI/UX Designer,0,1,0,0
1,19,UI/UX Designer,0,1,1,0
1,20,UI/UX Designer,1,1,2,1
1,1,Financial Analyst,1,2,0,0
1,2,Financial Analyst,0,1,1,0
1,3,Financial Analyst,0,0,1,0
1,4,Financial Analyst,1,1,1,1
1,5,Financial Analyst,1,2,1,1
1,6,Financial Analyst,1,1,1,1
1,7,Financial Analyst,0,1,1,0
1,8,Financial Analyst,1,1,1,1
1,9,Financial Analyst,0,1,1,0
1,10,Financial Analyst,1,0,0,0
1,11,Financial Analyst,0,1,1,0
1,12,Financial Analyst,0,1,0,0
1,13,Financial Analyst,0,1,0,0
1,14,Financial Analyst,0,1,1,0
1,15,Financial Analyst,0,1,0,0
1,16,Financial Analyst,0,2,1,0
1,17,Financial Analyst,1,2,1,1
1,18,Financial Analyst,0,1,0,0
1,19,Financial Analyst,0,1,1,0
1,20,Financial Analyst,0,2,1,0
2,1,Product Manager,0,1,2,0
2,2,Product Manager,0,1,2,0
2,3,Product Manager,0,2,0,0
2,4,Product Manager,0,1,1,0
2,5,Product Manager,1,1,1,1
2,6,Product Manager,0,1,0,0
2,7,Product Manager,1,1,1,1
2,8,Product Manager,0,1,1,0
2,9,Product Manager,0,1,0,0
2,10,Product Manager,1,2,0,0
2,11,Product Manager,0,1,0,0
2,12,Product Manager,1,0,0,0
2,13,Product Manager,0,1,1,0
2,14,Product Manager,0,1,0,0
2,15,Product Manager,1,1,0,0
2,16,Product Manager,1,2,1,1
2,17,Product Manager,0,1,1,0
2,18,Product Manager,0,2,0,0
2,19,Product Manager,0,2,1,0
2,20,Product Manager,0,1,0,0
2,1,Technical Lead,1,1,1,1
2,2,Technical Lead,0,1,1,0
2,3,Technical Lead,0,1,0,0
2,4,Technical Lead,0,2,1,0
2,5,Technical Lead,0,1,2,0
2,6,Technical Lead,0,0,1,0
2,7,Technical Lead,0,2,0,0
2,8,Technical Lead,0,1,1,0
2,9,Technical Lead,0,2,2,0
2,10,Technical Lead,0,1,1,0
2,11,Technical Lead,0,1,1,0
2,12,Technical Lead,0,1,2,0
2,13,Technical Lead,0,1,0,0
2,14,Technical Lead,1,1,1,1
2,15,Technical Lead,0,1,1,0
2,16,Technical Lead,0,2,1,0
2,17,Technical Lead,0,1,0,0
2,18,Technical Lead,1,2,1,1
2,19,Technical Lead,0,2,0,0
2,20,Technical Lead,0,0,1,0
2,1,UI/UX Designer,1,1,1,1
2,2,UI/UX Designer,0,1,0,0
2,3,UI/UX Designer,0,0,1,0
2,4,UI/UX Designer,1,1,2,1
2,5,UI/UX Designer,0,2,1,0
2,6,UI/UX Designer,0,1,1,0
2,7,UI/UX Designer,1,1,1,1
2,8,UI/UX Designer,0,0,1,0
2,9,UI/UX Designer,1,0,0,0
2,10,UI/UX Designer,0,1,1,0
2,11,UI/UX Designer,1,0,1,0
2,12,UI/UX Designer,1,1,0,0
2,13,UI/UX Designer,1,1,1,1
2,14,UI/UX Designer,0,1,1,0
2,15,UI/UX Designer,0,1,0,0
2,16,UI/UX Designer,1,1,1,1
2,17,UI/UX Designer,0,2,1,0
2,18,UI/UX Designer,1,2,1,1
2,19,UI/UX Designer,0,1,2,0
2,20,UI/UX Designer,0,0,2,0
2,1,Financial Analyst,0,1,1,0
2,2,Financial Analyst,1,1,0,0
2,3,Financial Analyst,1,1,2,1
2,4,Financial Analyst,0,2,1,0
2,5,Financial Analyst,0,1,1,0
2,6,Financial Analyst,1,0,0,0
2,7,Financial Analyst,1,1,2,1
2,8,Financial Analyst,0,1,2,0
2,9,Financial Analyst,0,2,0,0
2,10,Financial Analyst,0,2,1,0
2,11,Financial Analyst,0,2,1,0
2,12,Financial Analyst,0,1,1,0
2,13,Financial Analyst,1,0,1,0
2,14,Financial Analyst,1,0,0,0
2,15,Financial Analyst,0,2,1,0
2,16,Financial Analyst,0,1,0,0
2,17,Financial Analyst,0,1,1,0
2,18,Financial Analyst,1,0,0,0
2,19,Financial Analyst,0,0,1,0
2,20,Financial Analyst,0,1,1,0
3,1,Product Manager,0,1,2,0
3,2,Product Manager,0,2,1,0
3,3,Product Manager,1,1,0,0
3,4,Product Manager,0,1,1,0
3,5,Product Manager,1,1,1,1
3,6,Product Manager,1,2,0,0
3,7,Product Manager,0,1,0,0
3,8,Product Manager,1,2,1,1
3,9,Product Manager,0,1,1,0
3,10,Product Manager,0,1,1,0
3,11,Product Manager,0,1,2,0
3,12,Product Manager,1,0,1,0
3,13,Product Manager,0,0,0,0
3,14,Product Manager,0,0,1,0
3,15,Product Manager,0,1,1,0
3,16,Product Manager,0,0,0,0
3,17,Product Manager,0,1,1,0
3,18,Product Manager,0,2,1,0
3,19,Product Manager,0,1,2,0
3,20,Product Manager,0,1,1,0
3,1,Technical Lead,0,1,1,0
3,2,Technical Lead,0,1,1,0
3,3,Technical Lead,1,1,0,0
3,4,Technical Lead,0,2,2,0
3,5,Technical Lead,1,1,1,1
3,6,Technical Lead,0,1,0,0
3,7,Technical Lead,0,2,1,0
3,8,Technical Lead,0,1,0,0
3,9,Technical Lead,0,1,2,0
3,10,Technical Lead,1,1,1,1
3,11,Technical Lead,0,2,1,0
3,12,Technical Lead,1,1,1,1
3,13,Technical Lead,0,1,2,0
3,14,Technical Lead,0,1,1,0
3,15,Technical Lead,0,1,0,0
3,16,Technical Lead,0,1,0,0
3,17,Technical Lead,0,1,1,0
3,18,Technical Lead,1,1,1,1
3,19,Technical Lead,0,1,1,0
3,20,Technical Lead,0,0,2,0
3,1,UI/UX Designer,0,1,1,0
3,2,UI/UX Designer,1,1,0,0
3,3,UI/UX Designer,1,1,2,1
3,4,UI/UX Designer,0,1,0,0
3,5,UI/UX Designer,0,0,1,0
3,6,UI/UX Designer,0,1,1,0
3,7,UI/UX Designer,0,1,1,0
3,8,UI/UX Designer,0,2,1,0
3,9,UI/UX Designer,1,1,1,1
3,10,UI/UX Designer,0,1,1,0
3,11,UI/UX Designer,0,1,2,0
3,12,UI/UX Designer,0,0,0,0
3,13,UI/UX Designer,1,1,0,0
3,14,UI/UX Designer,0,1,0,0
3,15,UI/UX Designer,1,0,1,0
3,16,UI/UX Designer,0,1,0,0
3,17,UI/UX Designer,0,0,0,0
3,18,UI/UX Designer,0,1,1,0
3,19,UI/UX Designer,1,0,0,0
3,20,UI/UX Designer,0,1,1,0
